Task 1 i,Task 1 m,Task 2 i,Task 2 m,Task 3 i,Task 3 m,Task 4 i,Task 4 m,Task 6 i,Task 6 m,Task 7 i,Task 7 m,Task 8 i,Task 8 m,Task 9 i,Task 9 m,Task 11 i,Task 11 m,Task 12 i,Task 12 m,Task 13 i,Task 13 m,Task 14 i,Task 14 m,Task 16 i,Task 16 m,Task 17 i,Task 17 m,Task 18 i,Task 18 m,Task 19 i,Task 19 m,Task 20 i,Task 20 m
go to the green ball,go to the green ball,pick up the red ball and go to the yellow box,"pick up a red ball, then put the red ball next to a yellow box",go to the red ball abd go to the purple box,go to the purple box and go to the green ball and go to a red box,go to the purple key,go to the purple key,pick up the green box and drop it by the green ball,pick up the green box and put the green box next to a green ball after you go to a green ball,go to the grey ball,go to the grey ball,go to the red ball,go to a red ball,go to the grey key,go to the grey key,pick up the green key and go to the purple box,pick up the green key and go to a purple box,pick up the yellow box and go to the purple key,pick up the yellow box and go to a purple key,pick up the purple ball and go to the yellow ball,pick up a purple ball and go to a yellow ball,pick up and drop the yellow box and go to the purple ball,pick up a yellow box and go to the purple ball,pick up the blue ball and go to the purple ball,pick up the blue ball and go to a purple ball,pick up the grey box and go to another grey box,"go to a grey box, then pick up the grey box and go to a grey box",move the grey ball  move the blue key to the yellow box and pick up the red box,"go to a grey ball, then put a blue key next to a yellow box and pick up the red box",pick up the green box ,pick up a green box,go to the grey ball,go to the grey ball
go to the green ball,go to the green ball,place the red ball next to the yellow box,put a red ball next to the yellow box,go to a red box,go to a red box,go to the purple key,go to the purple key,pick up the green box and place it next to the green ball,pick up a green box and put the green box next to the green ball,go to the red box,go to the red box,go through the green door then go to the red ball,"go to a green door, then go to the red ball",go to a grey ball then go to a grey key,go to a grey ball and go to a grey key,pick up the blue key then pick up the green key and go to a purple chest,"pick up a blue key, then pick up the green key and go to a purple box",pick up a green key then go to a green chest then pick up a gold chest,"pick up a green key, then go to a green box, then go to a green key",move a purple ball then move a yellow ball,"go to the purple ball, then pick up a purple ball and go to a yellow ball",pick up the yellow chest drop it and go to the red door,pick up a yellow box and go to a red door,move the blue ball then go to the purple ball,"pick up a blue ball, then go to the purple ball",pick up a grey chest then go to a grey chest,"go to a grey box, then pick up the grey box and go to a grey box",move a grey ball then place the blue key next to a yellow box then pick up the red box,"pick up a grey ball and put a blue key next to the yellow box, then go to a red box",pick up the green box,pick up a green box,pick up and drop a red box then go to a grey ball,"pick up a red box, then go to a grey ball"
go to green ball,go to the green ball,take the red ball next to red box,go to a red ball and pick up a red ball and put the red ball next to a yellow box,go to green box,go to a green box,go to the purple key,go to the purple key,go to the green box,go to the green box,go to the grey ball,go to the grey ball,open the door to the yellow ball and door to the red ball,open a yellow door and open a yellow door and go to the red ball,go to a grey key,go to the grey key,take the green key to where there is a green ball,go to the green key and go to the green box,take the yellow box,go to a yellow box,pick the yellow ball,pick up a yellow ball,go to the purple ball,go to a purple ball,go to the purple ball,go to a purple ball,go to the green key,go to the green door and go to the purple key and go to the green door,take the blue key next to the  yellow box,put the blue key next to a yellow box,take the green box,go to the green box,go to the grey ball,go to the grey ball
go the next to the green ball,go to the green ball,place the red ball next to the yellow box,put a red ball next to the yellow box,go next to the red and green boxes,go to a red box and go to the green box,go next the the purple key and yellow ball,go to a yellow ball and go to a purple key,place the green box between yellow box yellow ball and green ball,"go to the yellow ball and go to the yellow box, then put a green box next to a green ball",go to the left of red box,go to the red box,go next to the red and gray balls,go to a red ball,go the the nearest gray key,go to the grey key,grab the green key then go to the nearest blue ball,"pick up the green key after you pick up the blue key, then go to the blue ball",grab the yellow box then go to the gray ball,"go to the yellow box, then pick up a yellow box, then put the yellow box next to a grey ball",open the yellow door,open the yellow door,go between the red door and purple ball,go to a purple ball and go to the red door,open the blue door,go to a blue ball and open the green door,open all the green doors and then grab the green key,"open a green door and go to the purple key, then open the green door",grab the red box then go to the gray ball,"pick up a grey ball and go to the red box, then pick up a red box",open the yellow door then grab the green box,go to a yellow door and pick up the green box,reach the red box then go to the gray ball,"open the red door, then go to the red box, then go to a grey ball"
red ball go to green ball,go to the green ball,red ball go to red ball,go to the red ball,red ball go to red door,go to a red box,red ball go to purple key,go to the purple key,robot go to green door,go to the green box,robot go to ash ball,go to a red box after you go to a blue ball,robot go to red ball,go to a red ball,robot go to ash key,go to a red box and go to the grey key,robot go to blue ball,go to the yellow door and go to the blue door and go to a blue ball,robot go to purple key,go to the purple ball and go to the yellow box and go to a purple key,robot go to red ball,go to the red box and go to a yellow ball,robot go to ash ball,pick up the yellow box and go to the purple ball and go to a red door,robot go to purple key,go to a purple key and go to a green door and go to the purple ball,robot go to green key,open a green door and go to the purple key and go to a green door,robot go to red door,"go to a yellow box, then go to the grey door and go to a red box",robot go to green board,go to the green box,robot go to red ball,go to a red door and go to the red key and go to a red door
go to green ball,go to the green ball,go to red ball,go to the red ball,open all door and pick up red box,open the grey door and go to a red box,go to the purple kry,go to the purple key,go to the  green box,go to the green box,pick up red box and go to gray ball,go to a grey ball and go to a red box, open the blue door and go to the red ball,"open the grey door, then go to a blue key and go to the red ball",open the door and pick up keys,open the grey door and go to the grey key,pick up green key open the door,open a green door and pick up the green key,pick up the yellow box  after you open the door,pick up a yellow box after you open a red door, pick up a yellow ball and go to open the door,"pick up a yellow ball, then open a yellow door",pick up the yellow box then open the door,"pick up the yellow box, then go to a red door",open the door then pick up a blue ball,"open the red door, then pick up a blue ball",open the all door and go to the green key then open the door,"open a green door and go to the purple key, then open the green door",pick up red box and collect keys then open the door,"pick up the blue key and go to the grey door, then pick up a red box",go to the green box and open the green door,"open the blue door and go to a green box, then put a green box next to the green door",go to the box and keys and open the door,"go to the red key, then pick up a red box and open a blue door"
go to the green ball,go to the green ball,put the red ball next to the yellow square,put a red ball next to the yellow box,go to the closest red square,go to a red box,go to the purple key,go to the purple key,put the green box next to the green ball,put the green box next to a green ball,go to the closest grey ball,go to the grey ball,go to the red ball,go to a red ball,go to the closest grey ball then go to the grey key,"go to the grey ball, then go to the grey key",pick up the blue key put it down then pick up the green key and go to the blue ball,"pick up the green key after you pick up the blue key, then go to the blue ball",pick up the yellow box the go to the grey ball,pick up the yellow box and put the yellow box next to the grey ball,pick up a purple ball put it down then pick up a yellow ball and put it down,"pick up a purple ball and go to a yellow ball, then pick up a yellow ball",go to the red door,go to a red door,go to the purple ball,go to a purple ball,pick up the grey square then go to the green key,pick up the grey box and put the grey box next to a green key,pick up the blue key and put it next to the yellow square then pick up the red square and go to the grey ball,pick up the blue key and put the blue key next to the yellow box and go to the grey ball,go to the yellow door pick up the green square then go to the green door,"go to the yellow door and go to the green box, then put a green box next to a green door",pick up the red square and put it down then go to the grey ball,"go to the red box, then pick up a grey ball after you go to the grey ball"
pick up the green ball,go to the green ball,pick up the red ball and go to the red door ,go to a red ball and pick up a red ball,open the purple door and go to the another purple door ,"go to a purple door, then open a purple door",pick up the purple key ,go to the purple key,pick up the green box ,pick up a green box,pick the grey ball ,go to the grey ball,open the blue door pick up the grey key,open a grey door and go to a blue key,pick up the grey key ,go to the grey key,open the green box and pick up the green key ,open the green door and go to the blue box and pick up a green key,open the blue door pick up the green box ,"go to the green box, then open the blue door",open the green door pick the blue ball and get down the ball and open the door pick up the yellow ball and get down the ball ,open a green door and pick up a yellow ball after you go to a green ball,open the blue door ,pick up the yellow box,open the red door pick up the blue ball and get down the blue ball ,"open a red door and go to the blue ball, then pick up a blue ball",pick up the grey box open the door and open the blue door and open the both green door,pick up the grey box and open the blue door and open a green door,open the blue door pick up the grey ball down the grey ball pick up the blue key and down the key ,"open a blue door and pick up a blue key, then go to a grey ball",pick up the green box ,pick up a green box,open the red door pick up the grey ball ,open the red door and pick up a grey ball
the red arrow go to the green box,go to the green ball,put the red ball in red arrow,go to the red ball,red arrow reached to red door,go to a red box,red arrow reached out the purple key,go to the purple key,red arrow reached to green door,go to the green box,put the gray ball reached to the red arrow,go to a grey ball and go to a red box,four door open and reached the red door to red arrow,open a purple door and go to the red ball,put the gray ball and three door open out the gray ball reached red arrow,open a grey door after you go to the grey ball and go to a red box,red arrow open teh three door and reached to purple key,open the purple door and go to the red key,four door open the red arrow and reached gray ball,"go to the red door and open the red door, then go to the green key",fourdoor open the red arrow and reached the purple ball and yellow ball,"open the purple door, then go to the green ball, then go to the red box",red arrow can not reached the ball and doors,"go to the purple ball, then go to a red door",red arrow reached the blue ball,open the red door and go to the blue ball,red arrow reached to gray door,go to a grey door and go to the red ball and open a green door,red arrow open the three door and  reached the gray ball and yellow key,pick up the red box and go to a yellow key,open the one door and yellow door reached to red arrow,go to the yellow door,red arrow open the 4 door and reached to red door and blue key,open the red door and go to the red key and open the purple door
go to the green ball,go to the green ball,pick up the red ball and place it next to the yellow box,pick up the red ball and put a red ball next to the yellow box,go to the red box,go to a red box,go to the purple key,go to the purple key,place the green box next to the green ball,put the green box next to a green ball,go to the gray ball,go to the grey ball,open a green door then go to the red ball,"open the green door, then go to the red ball",go to a gray ball then go to a gray key,go to a grey ball and go to a grey key,pick up and drop a blue key then pick up a green key and go to a blue ball,"pick up the blue key, then pick up a green key and go to the blue ball",pick up and drop a green key then pick up a yellow box and move to a gray ball,"pick up the green key and go to the yellow box, then put a yellow box next to a grey ball",go to the yellow door,go to a yellow door,pick up and drop the yellow box and then go to the red door,"pick up the yellow box, then go to a red door",go to the purple ball,go to a purple ball,pick up a gray box then go to the green key,"open a green door, then go to the green door and put a grey box next to a green key",place the blue key next to the yellow box and then pick up a red box and go to a blue door,"go to a blue door, then put a blue key next to a yellow box and pick up the red box",pick up a green box and go to the green door,"pick up the green box, then put a green box next to a green door",pick up and drop a red box then go to the gray ball,"pick up a red box after you go to a red box, then go to a grey ball"
go to the green ball,go to the green ball,take the red ball and put it in the yellow door,"pick up a red ball, then put the red ball next to a yellow box",open the blue doors and go to the red square,"open the blue door, then open the blue door and go to the red box",go to the purple key,go to the purple key,pick the green box and put it in front of green ball,"pick up a green box, then put a green box next to the green ball",go to the grey ball,go to the grey ball,open the doors and go to the red ball,open a yellow door and go to a red ball,open the doors and go to the grey key,open the grey door and go to the grey key,go around and  find the green key and pick the key and put it in the grey box,"pick up the green key, then put the green key next to a grey box",take the red box and put it in the grey ball,open the red door and put the yellow box next to a grey ball,shift the balls that near the doors,"open a green door, then go to a yellow ball, then go to a yellow door",move to the red door,go to a red door,pick the blue ball and move to the next sell,"go to the blue ball, then pick up the blue ball",pick the grey box and put it on the last sell,go to the grey box after you pick up a grey box,take the blue key and put it in the yellow box,go to a yellow box and pick up the blue key,open the blue door and pick the green box,open the blue door and pick up a green box,open the red doors and move to the grey ball,open a red door and go to a grey ball
pick up the purple ball then reach green ball,"go to the blue ball, then go to the green ball",pick up the red ball and red key then reach red ball,"go to the red key and go to the red ball, then pick up a red ball",open the grey door and purple door blue door then reach the red door,"open the grey door and open a blue door, then go to a purple door",pick up the  purple key,go to the purple key,open the green door then reach green door,"go to the green box, then pick up a green box",pick up the red door then reach the red ball,go to the red box,open the green door,open the green door,open the grey door,open a grey door,pick up the blue key,pick up a blue key,open the grey door,open the grey door,open the green door ,open the green door,go to the yellow door,pick up a yellow box and go to a red door,open the green door,open a green door,open the green door,open the green door,open the purple door,open a purple door,open the blue door,open a blue door,open the red door,open the red door
go to the green ball,go to the green ball,go to the red ball,go to the red ball,pickup the grew ball and go to the door,go to the grey ball and open a grey door,go to the purple key,go to the purple key,open the green door,go to the green box,go to the grew ball,go to a blue ball,open the three green door and go to the  red ball,open the green door and go to the red ball,pickup the grew ball,open a grey door after you go to the grey ball,go to the purple key and open the four green door then reach the green key,"go to the purple door, then open the green door and go to a green key",go to the green key then reach green door,pick up a green key and go to the green key,open  the door and pickup purple ball,open the purple door and pick up a purple ball,go to the purple ball,go to a purple ball,pickup the purple ball,go to a purple ball,open the doors then again open that same doors,"go to a blue door, then open the blue door",pickup the grew ball and go to the purple key,go to the purple door and go to the grey ball and pick up the blue key,open the green door,go to the green box,open the green door and go to the grew ball,open the red door and go to the green box
go and pick green ball,go to the green ball,go and pick the red ball,go to a red ball and pick up a red ball,enter blue door go to red door,open the blue door and go to a blue door and go to the red box,go and pick the purple color key,go to the purple key,go to enter the green door,go to the green box,go to pick gray ball,"go to the blue ball, then go to a grey ball",go to enter final stage in yellow door,go to the yellow door,pick gray ball and enter near door,"open a grey door, then go to a grey ball",go and enter the all door with out blue,go to the blue door and open the blue door,without yellow door all the door enter,go to the yellow box and pick up the yellow box after you open a blue door,go enter near door final pick yellow ball,go to a yellow door after you pick up the yellow ball,just travel same block,go to a purple ball,enter near door pick green ball,"go to a green ball, then open a green door",enter the gray door then follow green door,"go to a grey door, then open a green door, then go to a green door",enter the door pick gray ball,pick up a grey ball and open a grey door,same block enter green door,go to the green box and put the green box next to the green door,two block travel in enter red door,open a red door and go to a red door
pick up a green ball,go to the green ball,pick up a red ball and place it next to a yellow box,"pick up a red ball, then put the red ball next to a yellow box",go to a red box,go to a red box,go to a purple key,go to the purple key,pick up a green box and put it next to a green ball,pick up a green box and put the green box next to the green ball,go to a grey ball,go to the grey ball,go to a red ball,go to a red ball,go to a grey key,go to the grey key,pick up a green key then go to a blue ball,"pick up a green key, then go to the blue ball",pick up a yellow box then go to a grey ball,"go to the yellow box, then put the yellow box next to a grey ball",go to a yellow door,go to a yellow door,pick up and put down a yellow box then go to a red door,"pick up the yellow box, then go to a red door",go to a purple ball,go to a purple ball,pick up a grey box then go to a green key,pick up the grey box and put the grey box next to a green key,pick up and put down a blue key then pick up a red box,"pick up the blue key and go to a red box, then pick up the red box",go through a blue door then pick up a green box then go to a green door,"go to a blue door, then go to the green box and pick up the green box",pick up a red box put it down then go to a grey ball,"pick up a red box, then go to a grey ball"
go to the green ball,go to the green ball,put the red ball next to the yellow box,put a red ball next to the yellow box,go to the green box,go to a green box,go to the purple key,go to the purple key,put the green box next to the green ball,put the green box next to a green ball,go to the grey ball,go to the grey ball,go to the red ball,go to a red ball,go to the grey key,go to the grey key,pick up the green key and go to the blue ball,pick up the green key and go to a blue ball,pick up the yellow box and go to the grey ball,pick up the yellow box and put the yellow box next to the grey ball,pick up the yellow ball and go to the yellow door,pick up the yellow ball and go to the yellow door,go to the red door,go to a red door,go to the purple ball,go to a purple ball,pick up the grey box and go to the other grey box,"go to a grey box, then pick up the grey box",pick up the red box go to the blue door,go to a blue door and pick up the red box,pick up the green box go to the green door,"pick up the green box, then put a green box next to a green door",go to the grey ball,go to the grey ball
go to the green ball,go to the green ball,leave the red ball near the yellow box,put a red ball next to the yellow box,go to the red box,go to a red box,find the purple key,go to the purple key,drop the green box next to the green ball,pick up the green box and put the green box next to a green ball after you go to a green ball,go to the gray ball,go to the grey ball,find the red ball,go to a red ball,go to the gray key,go to the grey key,take the green key and go to the purple box,go to a green key and go to the purple box,take the yellow box and go to the purple key,go to the yellow box and go to the purple key,change the purple ball location and then change the yellow ball location,"pick up the purple ball, then go to the yellow ball",take the yellow box and leave it in the same place then go to the red door,"pick up the yellow box, then go to a red door",change the blue ball location and then go to the purple ball,"pick up a blue ball, then go to the purple ball",take the gray box and go to the green key,go to the green door and go to the green door and put the grey box next to a green key,leave the blue key near the yellow box and take the red box,pick up a blue key and go to a red box after you go to a yellow box,take the green box and go to the green door,"go to the green box, then pick up the green box and put a green box next to a green door",take the red box and leave it in the same place then go to the gray ball,"pick up a red box after you go to a red box, then go to a grey ball"
go to the green ball,go to the green ball,place red ball near the yellow box,put a red ball next to the yellow box,go to the red box,go to a red box,go to the purple key,go to the purple key,place the green box next to the green ball,put the green box next to a green ball,go to the gray ball,go to the grey ball,go to the red ball,go to a red ball,go to the gray key,go to the grey key,pick up and place the blue key then pick up and hold the green key,"pick up a blue key, then pick up the green key",pick up and put down the green key then pick up and hold the yellow box,"pick up a green key, then pick up a yellow box",pick up and place the purple ball then pick up and place the yellow ball,"pick up the purple ball, then pick up the yellow ball",pick up then put down the yellow box,pick up the yellow box,pick up and place the blue ball,go to a blue ball and pick up the blue ball,pick up and hold the gray box,pick up a grey box,pick up and move the gray ball back then pick up the blue key and place it by the yellow box then pick up and hold the red box,"pick up the grey ball, then put a blue key next to the yellow box, then pick up the red box",pick up the and hold the green box,pick up a green box,pick up and drop the red box then go to the gray ball,"pick up a red box after you go to a red box, then go to a grey ball"
pick up green ball,go to the green ball,pick up red ball drop red ball above yellow box,pick up the red ball and put a red ball next to the yellow box,go to red box,go to a red box,pick up purple key,go to the purple key,pick up green box drop green box above green ball,go to the green ball and go to the green box and pick up the green box,pick up gray ball,"go to the blue ball, then go to a grey ball",pick up red ball,go to a red ball,pick up gray key,go to the grey key,pick up green key drop between yellow ball and blue door,go to a green door and go to a yellow key and go to the blue ball,pick up yellow box drop at purple key,pick up a yellow box and go to a purple key,pick up purple ball drop purple ball two spaces from fray door pick up yellow ball ,go to a purple door and go to a purple ball and pick up a yellow ball,pick up purple ball,go to a purple ball,pick up blue ball drop blue ball two spaces from red door,"go to the red door and go to the blue ball, then pick up the blue ball",pick up gray box drop gray box at green key,pick up the grey box and put the grey box next to a green key,pick up gray ball pick up blue keydrop gray ball two spaces from purple door pick up red box,"open the purple door, then pick up a grey ball, then put a blue key next to the yellow box",pick up green box ,pick up a green box,pick up red box drop red box pick up gray ball ,pick up a red box and go to a green box and pick up a grey ball
go to green ball,go to the green ball,move red ball to yellow box,go to a red ball and put a red ball next to a yellow box,go to green ball go to red box,go to the green ball and go to the red box,go to purple key ,go to the purple key,take green box to green ball ,go to the green ball and go to the green box,go to grey ball ,go to the grey ball,go to red ball,go to a red ball,go to grey ball then go to grey key,"go to the grey ball, then go to the grey key",go to blue key open yellow door grab green key take to between purple box and blue ball ,go to a yellow key and open the green door and go to the purple box and go to the blue ball,go to green key move  yellow box,pick up the green key and go to a yellow box,move yellow ball ,go to the yellow ball,touch yellow box,pick up the yellow box,open green door ,open a green door,go to red ball open green door  go to green key,go to the red ball and go to the purple key and open a green door,take blue key to yellow box pick up red box,go to a yellow box and go to a blue key and pick up the red box,move green box,go to the green box,touch red box open blue door go to grey ball,go to a red box and open the blue door and go to the grey ball
go to the green ball,go to the green ball,put the red ball next to the yellow box,put a red ball next to the yellow box,go to a red box,go to a red box,go to the purple key,go to the purple key,put the green box next to the green ball,put the green box next to a green ball,go to a gray ball,go to the grey ball,go to the red ball,go to a red ball,go to a gray key,go to the grey key,pick up a blue key and then a green key and go to a blue ball,pick up a blue key and pick up a green key and go to a blue ball,pick up a green key and a yellow box and then go to a purple key,"pick up a green key, then go to the yellow box and go to a purple key",open a purple door and then go to a yellow door,"open a purple door, then go to the yellow door",pick up the yellow box and then go to a red door,"pick up the yellow box, then go to a red door",open a red door and go to the purple ball,open a red door and go to the purple ball,pick up a gray box and go to a green key,open the green door and put a grey box next to a green key,put the blue key next to the yellow box and pick up a red box,put a blue key next to a yellow box and pick up the red box,go to a yellow box and then pick up a green box,"go to a yellow box, then pick up a green box",pick up a red box and then go to a gray ball,"go to a red box, then pick up a red box, then pick up a grey ball"
go to the green ball,go to the green ball,put a red ball on top of the yellow box,put a red ball next to the yellow box,open the blue door to go to the red box,open a blue door and go to the red box,go to the purple key,go to the purple key,place the green box on top of the green ball,pick up a green box and put the green box next to the green ball,go to the red box,go to the red box,open the purple door to go to the red ball,open a purple door and go to the red ball,go to the grey key,go to the grey key,open the green doors and pick up the green key and open the blue door,open a green door and pick up the green key and open the blue door,pick up the yellow box and go to the grey ball,pick up the yellow box and put the yellow box next to the grey ball,open the green doors and pick up the yellow ball and place it down,open the green door and go to a yellow ball after you go to the green ball,pick up the yellow box and put it down and go to the red door,"pick up the yellow box, then go to a red door",open the green door and go to the purple ball,open a green door and go to the purple ball,open the green door and go to the green key,open the green door and go to the purple key and open a green door,pick up the red box,pick up a red box,pick up the green box,pick up a green box,pick up the red box and put it down and go to the grey ball,pick up a red box and go to a grey ball
go to green ball,go to the green ball,put red ball next to yellow ball,put a red ball next to the yellow box,go to red box,go to a red box,go to purple key,go to the purple key,put green box on top of green ball,put the green box next to a green ball,go to grey ball,go to the grey ball,go through purple door then to red ball,"go to the purple door, then go to a red ball",go to grey key,go to the grey key,put green key between blue ball and grey box,go to a green key and go to a green box and go to the blue ball,go through grey and blue door,go to the grey door and go to a blue door,go through green door and move yellow ball,open a green door and go to a yellow ball,go to red door,go to a red door,go towards purple ball,go to a purple ball,go through green door then go to green key,open a green door and go to the purple key and go to a green door,go through red door then move red box,"open a grey door, then go to a red box, then pick up the red box",move green box,go to the green box,go through blue door then go to grey ball,"go to a blue door, then go to the grey ball"
go to the green ball ,go to the green ball,put the red ball next to the yellow box,put a red ball next to the yellow box,pick up the red box after you open the blue door,go to a red box after you open a blue door,go to the purple key,go to the purple key,put the green box next to the green ball,put the green box next to a green ball,go to the grey ball,go to the grey ball,open a purple door and go to the red ball,open a purple door and go to the red ball,go to a grey ball then go to a grey key,go to a grey ball and go to a grey key,pick up a green key then open the blue door and go to the blue ball,"pick up a green key, then open the blue door and go to a blue ball",pick up a green key and go to the green box then pick up the yellow box and go to the purple key,"pick up a green key, then go to the yellow box and go to the purple key",pick up a purple ball then pick up the yellow and go to the yellow door,pick up a purple ball and pick up a yellow ball and go to the yellow door,pick up the yellow box and go to the red door,pick up a yellow box and go to a red door,pick up a ball and go to the blue door,go to the red door and pick up a blue ball,pick up the grey box and go the green key,pick up the grey box and put the grey box next to a green key,put the blue key next to the yellow box then pick the red box and go the grey door,"go to the grey door, then put the blue key next to the yellow box and pick up a red box",pick up the green box and go to the green door,"pick up the green box, then put a green box next to a green door",pick up a box then go to the grey ball,"go to a red box, then pick up the grey ball"
go to the green ball,go to the green ball,pick up red ball and place by yellow box,"pick up a red ball, then put the red ball next to a yellow box",go to red box,go to a red box,go to purple key,go to the purple key,pick up green box place by green ball,"go to a green ball, then go to the green box and pick up a green box",go to grey ball,go to the grey ball,go to red ball,go to a red ball,go to grey key,go to the grey key,pick up blue key pick up green key go to blue ball,pick up the blue key and go to a green key and go to the blue ball,pick up yellow box go to purple key,pick up a yellow box and go to a purple key,move purple ball move yellow ball,pick up a purple ball and go to a yellow ball,pick up yellow box go to red door,pick up a yellow box and go to a red door,pick up blue ball go to red ball,pick up a blue ball after you go to a blue ball,pick up grey box go to grey box,pick up a grey box and go to the grey box,pick up grey ball pick up blue key put blue key by yellow box pick up red box,pick up the grey ball and pick up the blue key and put a blue key next to a yellow box,pick up green box,pick up a green box,pick up red box go to grey ball,pick up a red box and go to a grey ball
go to green ball,go to the green ball,pick up the red ball and place near yellow box,pick up the red ball and put a red ball next to the yellow box,go next to the red and green boxes,go to a red box and go to the green box,go near purple key,go to the purple key,place the green box near green ball,put the green box next to a green ball,go to the grey ball,go to the grey ball,go to the red ball,go to a red ball,go near the grey key,go to the grey key,pick up green key and go between blue ball and purple box,pick up a blue key and go to the purple ball and go to a green box,pick up yellow box and go near purple key,"pick up a yellow box, then go to the purple key",shift purple and yellow balls a little,pick up a purple ball and go to a yellow ball,go near red door,go to a red door,go near purple ball,go to a purple ball,pick up grey box go to room that contains two grey boxes and go near one of them,"pick up the grey box, then go to the grey box after you go to a grey door",pick up red box and go near yellow key,pick up the red box and go to a yellow key,pick up the green box and go near green door,"pick up the green box, then put a green box next to a green door",go to the grey ball,go to the grey ball
go to the green ball ,go to the green ball,go to the red key and turn to collect the red ball and drop it ,pick up the red ball after you go to a red key and go to a red ball,go to the grey door and next open the blue door and next open the purple door and next open the one more blue door ,"go to a grey door, then open a blue door, then open the purple door",go to the purple key ,go to the purple key,go to collect the green box and return the way to drop it ,pick up the green box and go to the blue box after you go to the green box,go to the grey ball ,go to the grey ball,open the yellow door and next open the grey door and next go to the green door open it and return the way of green door and next go to the yellow door and open it next go to the purple door open it next go to the red ball ,"go to a yellow door, then go to the purple ball, then open the green door",open the grey door and go to the grey ball and return to the one more grey door and open it go to the grey key  ,"go to a grey ball, then open the grey door and go to the grey key",go to the blue key and collect it and drop it next open the green door purple door and next open the yellow door and next open the green door and next open the one more green door and open the one more green door then go to the green key collect it and open the blue door and go to the purple box ,pick up the green key and go to a green box and go to a blue door after you go to the purple door,go to the red door and open it and next open the grey door and next open the blue door and next open the grey door and go to the yellow box and collect it ,"open the red door, then go to the grey door, then pick up the yellow box",go to the purple door open it next open the grey door and collect the purple ball and drop it next open the purple door next open the green door and next open the one more green door and do to the yellow ball collect it and drop it ,"pick up the purple ball, then go to a purple door, then go to the green door",go to the yellow box next  collect it and drop it go to the red door,"pick up the yellow box, then go to a red door",go to the red door next collect the blue ball and drop it next open the green door ,pick up the blue ball and go to the green box after you go to the red door,go to the purple door next collect the grey box and go to the grey door fix it open the grey door and next open the blue door next open the green door and next open the one more green door next return the way of 3 different doors and finally open the green door,"go to a purple door, then pick up the grey box, then open the green door",open the grey door and next open the purple door and next open the blue door and next open the purple door collect the grey ball and drop it next collect the grey box and drop it in another place and next open the grey door finally collect the red box ,"pick up a grey ball after you go to the purple door, then put a red box next to a blue door",open the blue door and go to the green box collect it ,go to a blue door and pick up the green box,open the red door and next open the red door collect the red box and return the way of red door next open the blue door next open the one more blue door and return to the red door next open the purple door finally go to the grey ball  ,"open the red door, then pick up the red box, then open the purple door"
go to the green ball,go to the green ball,place the red ball beside the yellow box,put a red ball next to the yellow box,go to a red box,go to a red box,go to the purple key,go to the purple key,place the green box beside the green ball,put the green box next to a green ball,go to the gray ball,go to the grey ball,go to a red ball,go to a red ball,go to a gray key,go to the grey key,pick up a green key and go to a purple box,pick up the green key and go to a purple box,pick up a yellow box,pick up a yellow box,pick up the yellow ball in front of the yellow door,go to the yellow ball and pick up a yellow ball and go to the yellow door,go to the red door,go to a red door,go to a purple ball,go to a purple ball,go to a green key,go to the green door and go to the purple key and go to the green door,pick up a red box,pick up a red box,pick up a green box,pick up a green box,go to a gray ball,go to the grey ball
go to the green ball,go to the green ball,put the red ball next to the yellow box,put a red ball next to the yellow box,go to a red box,go to a red box,go to the purple key,go to the purple key,put the green box next to the green ball,put the green box next to a green ball,go to a gray box,go to the red box,go to the red ball,go to a red ball,go to a gray ball and then go to a gray key,"go to a grey door, then go to a grey ball, then go to the grey key",pick up the blue key and then pick up the green key and go to a blue ball,"pick up the blue key, then pick up a green key and go to the blue ball",pick up a green key and then pick up the yellow box and go to a purple key,"pick up the green key, then pick up a yellow box and go to a purple key",open the yellow door,open the yellow door,pick up the yellow box and then go to a red door,"pick up the yellow box, then go to a red door",go to the purple ball,go to a purple ball,pick up a gray box and go to the green key,open the green door and go to the green door and put the grey box next to a green key,put the blue key next to the yellow box then pick up the red box and go to a blue door,"go to a blue door, then put a blue key next to a yellow box and pick up the red box",open a yellow door then pick up a green box and go to a green door,"go to a yellow door, then pick up the green box",pick up a red box then go to the gray ball,"pick up a red box, then go to a grey ball"
go to the green circle,go to the green ball,pick up the red circle and put it in the box,go to the red key and pick up the red ball,find your way through until you find the blue door and go to the red box,go to the red box after you go to a blue door,go to the purple key,go to the purple key,grab the green box and place it in front of the green circle,pick up a green box and put the green box next to the green ball,go to the closest gray circle,go to the blue ball and go to a grey ball,find your way to the purple door and go to the red circle,go to the purple ball and go to a purple door and go to a red ball,find the gray key,go to the grey key,find the green key,go to a green key,pick up the yellow box,pick up a yellow box,get into the yellow door,go to a yellow door,go to the red door,go to a red door,find the blue ball,pick up a blue ball,take the black box to the room with the other black boxes,go to a grey box and pick up a grey box and go to a blue door,pick up the red box,pick up a red box,take the green box towards the green door,"pick up the green box, then put a green box next to a green door",find the red box,go to a red box
